101010100_2020-12-14,101010100,北京,2020-12-14,22,1,优,-,22,12,14,4,0.4,45,-9,-1,晴,2,10,17,0.0,1032
101020100_2020-12-14,101020100,上海,2020-12-14,36,1,优,-,28,25,25,6,0.7,50,2,6,阴,2,7,61,1.8,1031
101030100_2020-12-14,101030100,天津,2020-12-14,29,1,优,-,29,18,25,10,0.6,44,-7,-1,晴,3,16,21,0.0,1035
101040100_2020-12-14,101040100,重庆,2020-12-14,28,1,优,-,28,18,37,6,0.7,20,6,9,阴,2,6,86,5.8,1009
101050101_2020-12-14,101050101,哈尔滨,2020-12-14,88,2,良,PM2.5,89,65,30,23,1.0,37,-23,-17,霾,1,5,53,0.0,1017
101050201_2020-12-14,101050201,齐齐哈尔,2020-12-14,50,1,优,-,50,17,6,4,0.4,46,-22,-15,多云,4,28,36,0.0,1015
101050301_2020-12-14,101050301,牡丹江,2020-12-14,46,1,优,-,46,29,18,11,0.4,47,-22,-15,多云,4,21,46,0.0,1004
101050401_2020-12-14,101050401,佳木斯,2020-12-14,34,1,优,-,34,16,8,5,0.4,47,-24,-17,晴,4,25,48,0.0,1015
101050501_2020-12-14,101050501,绥化,2020-12-14,35,1,优,-,32,24,11,3,0.5,42,-25,-18,晴,2,7,59,0.0,1013
101050601_2020-12-14,101050601,黑河,2020-12-14,30,1,优,-,30,14,8,8,0.3,48,-26,-20,晴,3,18,45,0.0,1011
101050701_2020-12-14,101050701,大兴安岭,2020-12-14,14,1,优,-,12,6,5,5,0.4,44,-31,-21,晴,3,17,44,0.0,999
101050801_2020-12-14,101050801,伊春,2020-12-14,16,1,优,-,16,10,5,10,0.6,38,-29,-21,晴,4,23,55,0.5,1005
101050901_2020-12-14,101050901,大庆,2020-12-14,24,1,优,-,24,11,10,9,0.5,41,-21,-15,多云,3,16,39,0.0,1015
101051002_2020-12-14,101051002,七台河,2020-12-14,61,2,良,PM10,72,25,14,12,0.6,56,-21,-18,晴,5,34,48,0.0,1008
101051101_2020-12-14,101051101,鸡西,2020-12-14,47,1,优,-,47,17,15,3,0.3,44,-21,-16,晴,5,37,46,0.0,1003
