101010100_2020-12-23,101010100,北京,2020-12-23,94,2,良,PM10,138,24,10,2,0.3,66,-6,7,晴,4,24,22,0.0,1019
101020100_2020-12-23,101020100,上海,2020-12-23,65,2,良,PM2.5,50,47,77,9,0.7,29,6,12,阴,2,3,78,0.0,1021
101030100_2020-12-23,101030100,天津,2020-12-23,108,3,轻度污染,PM10,166,42,22,7,0.5,58,-4,6,多云,4,24,22,0.0,1024
101040100_2020-12-23,101040100,重庆,2020-12-23,123,3,轻度污染,PM2.5,134,93,51,16,0.9,15,7,10,阴,2,3,76,0.0,985
101050101_2020-12-23,101050101,哈尔滨,2020-12-23,199,4,中度污染,PM2.5,166,149,60,32,1.7,24,-17,-6,阵雪,4,16,97,0.0,997
101050201_2020-12-23,101050201,齐齐哈尔,2020-12-23,105,3,轻度污染,PM2.5,122,79,20,53,1.0,26,-17,-8,小雪,2,3,90,0.5,996
101050301_2020-12-23,101050301,牡丹江,2020-12-23,213,5,重度污染,PM2.5,243,163,99,37,2.8,15,-12,0,小雪,4,16,86,0.7,963
101050401_2020-12-23,101050401,佳木斯,2020-12-23,117,3,轻度污染,PM2.5,118,88,22,9,0.8,30,-16,-6,中雪,2,3,95,0.9,993
101050501_2020-12-23,101050501,绥化,2020-12-23,180,4,中度污染,PM2.5,170,136,54,23,1.4,20,-18,-10,小雪,2,3,94,0.6,992
101050601_2020-12-23,101050601,黑河,2020-12-23,34,1,优,NA,34,19,14,7,0.4,30,-24,-16,阵雪,2,3,91,0.2,992
101050701_2020-12-23,101050701,大兴安岭,2020-12-23,32,1,优,NA,32,10,10,6,0.6,48,-26,-15,小雪,2,3,92,0.4,949
101050801_2020-12-23,101050801,伊春,2020-12-23,80,2,良,PM2.5,94,59,36,16,1.5,8,-22,-9,小雪,2,3,90,0.7,968
101050901_2020-12-23,101050901,大庆,2020-12-23,104,3,轻度污染,PM2.5,120,78,36,12,1.1,29,-17,-8,阵雪,2,3,94,0.2,996
101051002_2020-12-23,101051002,七台河,2020-12-23,173,4,中度污染,PM2.5,102,131,41,17,1.0,53,-16,-6,小雪,2,3,94,0.4,974
101051101_2020-12-23,101051101,鸡西,2020-12-23,158,4,中度污染,PM2.5,193,120,67,37,1.2,27,-13,-3,小雪,2,3,84,0.9,972
101051201_2020-12-23,101051201,鹤岗,2020-12-23,70,2,良,PM2.5,87,51,24,17,0.6,33,-16,-9,中雪,2,3,84,0.8,988
101051301_2020-12-23,101051301,双鸭山,2020-12-23,140,3,轻度污染,PM2.5,156,107,57,16,1.5,12,-13,-5,阵雪,2,3,94,0.6,980
101060101_2020-12-23,101060101,长春,2020-12-23,109,3,轻度污染,PM10,167,56,28,16,0.9,54,-13,-1,晴,4,16,94,0.0,990
101060201_2020-12-23,101060201,吉林,2020-12-23,122,3,轻度污染,PM2.5,130,92,30,21,1.2,73,-12,1,晴,4,16,91,0.0,982
101060306_2020-12-23,101060306,延边,2020-12-23,108,3,轻度污染,PM2.5,107,81,50,45,1.4,26,-10,1,晴,4,16,61,0.0,967
101060401_2020-12-23,101060401,四平,2020-12-23,95,2,良,PM10,140,57,24,17,0.8,57,-16,-2,晴,4,24,86,0.0,993
101060501_2020-12-23,101060501,通化,2020-12-23,74,2,良,PM10,97,53,21,17,0.8,78,-14,2,晴,2,3,72,0.0,948
101060601_2020-12-23,101060601,白城,2020-12-23,59,2,良,PM10,68,36,7,12,0.4,64,-16,-4,晴,2,3,61,0.0,996
101060701_2020-12-23,101060701,辽源,2020-12-23,122,3,轻度污染,PM2.5,128,92,19,19,1.0,63,-17,0,晴,4,16,78,0.0,976
101060801_2020-12-23,101060801,松原,2020-12-23,120,3,轻度污染,PM2.5,130,91,42,14,1.4,35,-19,-7,晴,2,3,94,0.0,997
101060901_2020-12-23,101060901,白山,2020-12-23,86,2,良,PM10,122,58,13,18,1.4,76,-17,1,小雪,4,16,80,0.9,929
101070101_2020-12-23,101070101,沈阳,2020-12-23,153,4,中度污染,PM2.5,159,117,52,30,1.5,41,-12,4,晴,4,24,57,0.0,1014
101070201_2020-12-23,101070201,大连,2020-12-23,156,4,中度污染,PM2.5,162,119,40,19,1.1,72,-3,7,多云,5,34,50,0.0,1018
