101010100_2020-12-20,101010100,北京,2020-12-20,28,1,优,-,28,16,22,6,0.4,51,-6,4,晴,3,19,39,0.0,1029
101020100_2020-12-20,101020100,上海,2020-12-20,23,1,优,-,23,16,26,6,0.5,60,3,8,晴,2,11,56,0.0,1034
101030100_2020-12-20,101030100,天津,2020-12-20,30,1,优,-,23,21,37,8,0.6,45,-4,4,晴,3,19,38,0.0,1033
101040100_2020-12-20,101040100,重庆,2020-12-20,94,2,良,PM2.5,107,70,49,10,0.8,13,4,9,多云,2,9,77,0.0,1002
101050101_2020-12-20,101050101,哈尔滨,2020-12-20,112,3,轻度污染,PM2.5,111,84,40,26,1.1,37,-19,-12,晴,4,20,65,0.0,1011
101050201_2020-12-20,101050201,齐齐哈尔,2020-12-20,62,2,良,PM10,73,28,21,19,1.0,41,-18,-4,晴,4,22,55,0.0,1004
101050301_2020-12-20,101050301,牡丹江,2020-12-20,52,2,良,PM10,53,30,23,17,0.5,54,-22,-10,晴,5,35,54,0.0,988
101050401_2020-12-20,101050401,佳木斯,2020-12-20,64,2,良,PM2.5,60,46,16,14,0.5,50,-23,-11,晴,4,22,56,0.0,1013
101050501_2020-12-20,101050501,绥化,2020-12-20,112,3,轻度污染,PM2.5,106,84,30,10,0.8,34,-22,-14,晴,3,16,72,0.0,1002
101050601_2020-12-20,101050601,黑河,2020-12-20,57,2,良,PM10,64,38,10,28,0.8,40,-24,-13,晴,1,5,63,0.0,998
101050701_2020-12-20,101050701,大兴安岭,2020-12-20,53,2,良,PM10,55,8,27,17,1.0,27,-27,-10,多云,2,7,67,0.0,972
101050801_2020-12-20,101050801,伊春,2020-12-20,52,2,良,PM2.5,40,36,28,9,1.0,20,-26,-13,晴,2,6,65,0.0,989
101050901_2020-12-20,101050901,大庆,2020-12-20,56,2,良,PM10,61,31,19,13,0.6,42,-18,-7,晴,4,22,56,0.0,1004
101051002_2020-12-20,101051002,七台河,2020-12-20,71,2,良,PM10,92,46,36,14,0.6,46,-22,-13,晴,3,17,59,0.0,999
101051101_2020-12-20,101051101,鸡西,2020-12-20,52,2,良,PM10,54,24,21,9,0.3,51,-20,-11,晴,4,28,51,0.0,990
101051201_2020-12-20,101051201,鹤岗,2020-12-20,66,2,良,PM10,82,30,26,25,0.8,25,-26,-10,晴,2,11,59,0.0,998
101051301_2020-12-20,101051301,双鸭山,2020-12-20,60,2,良,PM2.5,60,43,18,16,0.7,45,-20,-11,晴,4,27,55,0.0,1000
101060101_2020-12-20,101060101,长春,2020-12-20,58,2,良,PM10,65,39,27,18,0.7,45,-16,-9,晴,4,28,63,0.0,999
101060201_2020-12-20,101060201,吉林,2020-12-20,30,1,优,-,30,18,14,16,0.6,64,-17,-8,晴,4,26,54,0.0,992
101060306_2020-12-20,101060306,延边,2020-12-20,33,1,优,-,33,11,8,8,0.5,64,-16,-6,晴,4,22,40,0.0,994
101060401_2020-12-20,101060401,四平,2020-12-20,63,2,良,PM2.5,68,45,18,14,0.5,72,-19,-6,晴,5,30,62,0.0,1007
101060501_2020-12-20,101060501,通化,2020-12-20,99,2,良,PM2.5,120,74,50,104,2.8,22,-20,-6,晴,2,7,62,0.0,981
101060601_2020-12-20,101060601,白城,2020-12-20,45,1,优,-,45,23,8,10,0.4,46,-16,-4,晴,3,15,48,0.0,1006
101060701_2020-12-20,101060701,辽源,2020-12-20,57,2,良,PM2.5,62,40,12,32,0.7,57,-22,-6,晴,4,27,72,0.0,997
101060801_2020-12-20,101060801,松原,2020-12-20,49,1,优,-,46,34,16,6,0.6,46,-18,-10,晴,3,16,67,0.0,1010
101060901_2020-12-20,101060901,白山,2020-12-20,88,2,良,PM2.5,124,65,22,58,1.3,32,-23,-7,晴,3,12,68,0.0,965
101070101_2020-12-20,101070101,沈阳,2020-12-20,90,2,良,PM2.5,110,67,52,54,1.8,31,-19,-3,晴,2,11,59,0.0,1025
101070201_2020-12-20,101070201,大连,2020-12-20,40,1,优,-,40,22,26,15,0.7,58,-2,3,晴,3,13,56,0.0,1020
101070301_2020-12-20,101070301,鞍山,2020-12-20,61,2,良,PM10,71,34,31,32,1.3,50,-9,0,晴,3,12,38,0.0,1022
101070401_2020-12-20,101070401,抚顺,2020-12-20,112,3,轻度污染,PM10,173,82,56,46,2.0,32,-20,-4,晴,3,16,66,0.0,1016
101070501_2020-12-20,101070501,本溪,2020-12-20,127,3,轻度污染,PM2.5,183,96,61,91,4.2,23,-16,-2,晴,2,10,56,0.0,1008
101070601_2020-12-20,101070601,丹东,2020-12-20,64,2,良,PM2.5,72,46,35,42,1.3,38,-13,-1,晴,3,18,58,0.0,1031
101070701_2020-12-20,101070701,锦州,2020-12-20,100,2,良,PM2.5,122,75,41,60,1.1,44,-12,2,晴,2,9,50,0.0,1024
101070801_2020-12-20,101070801,营口,2020-12-20,49,1,优,-,49,30,36,35,1.1,44,-13,-1,晴,2,7,57,0.0,1032
101070901_2020-12-20,101070901,阜新,2020-12-20,102,3,轻度污染,PM2.5,123,76,38,116,1.1,62,-14,-2,晴,3,18,55,0.0,1011
101071001_2020-12-20,101071001,辽阳,2020-12-20,70,2,良,PM10,90,38,38,42,1.5,42,-14,0,晴,2,8,52,0.0,1029
101071101_2020-12-20,101071101,铁岭,2020-12-20,61,2,良,PM10,72,37,39,22,0.8,42,-15,-4,晴,4,24,52,0.0,1020
101071201_2020-12-20,101071201,朝阳,2020-12-20,86,2,良,PM10,122,58,36,57,2.0,41,-16,1,晴,3,16,54,0.0,1010
101071301_2020-12-20,101071301,盘锦,2020-12-20,60,2,良,PM10,69,27,34,52,1.0,52,-14,0,晴,2,7,55,0.0,1031
101071401_2020-12-20,101071401,葫芦岛,2020-12-20,82,2,良,-,113,60,42,30,1.0,68,-15,1,晴,2,9,55,0.0,1027
101080101_2020-12-20,101080101,呼和浩特,2020-12-20,113,3,轻度污染,PM2.5,127,85,39,30,1.6,29,-17,-6,晴,2,11,63,0.0,897
101080201_2020-12-20,101080201,包头,2020-12-20,73,2,良,PM2.5,82,53,46,33,1.9,32,-19,-5,晴,2,9,74,0.0,914
101080301_2020-12-20,101080301,乌海,2020-12-20,43,1,优,-,43,24,15,15,0.6,69,-17,-1,晴,3,14,62,0.0,903
101080405_2020-12-20,101080405,乌兰察布,2020-12-20,57,2,良,PM10,63,36,49,26,1.0,31,-20,-6,晴,1,5,62,0.0,866
101080501_2020-12-20,101080501,通辽,2020-12-20,47,1,优,-,47,24,19,10,0.4,66,-17,-6,晴,4,20,60,0.0,1006
