101010100_2020-12-19,101010100,北京,2020-12-19,35,1,优,-,35,23,33,9,0.6,30,-9,2,晴,3,12,36,0.0,1031
101020100_2020-12-19,101020100,上海,2020-12-19,33,1,优,-,29,23,22,4,0.6,68,5,8,多云,1,4,56,0.0,1034
101030100_2020-12-19,101030100,天津,2020-12-19,53,2,良,-,55,37,43,12,0.7,38,-6,3,晴,2,10,32,0.0,1036
101040100_2020-12-19,101040100,重庆,2020-12-19,89,2,良,PM2.5,101,66,41,12,0.9,7,6,7,多云,1,5,78,0.2,1003
101050101_2020-12-19,101050101,哈尔滨,2020-12-19,55,2,良,PM10,59,34,24,17,0.8,47,-21,-12,晴,4,20,55,0.0,1014
101050201_2020-12-19,101050201,齐齐哈尔,2020-12-19,44,1,优,-,44,28,11,6,0.5,49,-21,-11,晴,3,12,46,0.0,1009
101050301_2020-12-19,101050301,牡丹江,2020-12-19,30,1,优,-,30,13,6,5,0.2,61,-21,-13,晴,5,36,41,0.0,988
101050401_2020-12-19,101050401,佳木斯,2020-12-19,22,1,优,-,22,8,4,4,0.2,61,-19,-14,晴,4,20,47,0.0,1014
101050501_2020-12-19,101050501,绥化,2020-12-19,24,1,优,-,24,13,11,4,0.4,48,-22,-14,晴,3,19,55,0.0,1004
101050601_2020-12-19,101050601,黑河,2020-12-19,28,1,优,-,28,11,6,6,0.2,62,-23,-15,晴,4,21,49,0.0,1002
101050701_2020-12-19,101050701,大兴安岭,2020-12-19,18,1,优,-,7,2,6,6,0.3,56,-24,-15,晴,3,13,47,0.0,977
101050801_2020-12-19,101050801,伊春,2020-12-19,17,1,优,-,12,6,4,8,0.6,54,-24,-16,晴,4,28,54,0.0,991
101050901_2020-12-19,101050901,大庆,2020-12-19,29,1,优,-,29,13,8,4,0.4,55,-18,-11,晴,4,23,40,0.0,1008
101051002_2020-12-19,101051002,七台河,2020-12-19,38,1,优,-,33,26,14,9,0.7,58,-19,-16,晴,6,46,51,0.0,999
101051101_2020-12-19,101051101,鸡西,2020-12-19,52,2,良,PM10,54,10,12,4,0.1,57,-19,-15,晴,6,41,42,0.0,989
101051201_2020-12-19,101051201,鹤岗,2020-12-19,20,1,优,-,20,11,4,6,0.4,58,-21,-16,晴,3,17,47,0.0,1000
101051301_2020-12-19,101051301,双鸭山,2020-12-19,25,1,优,-,25,12,5,8,0.2,57,-19,-16,晴,3,17,45,0.1,1001
101060101_2020-12-19,101060101,长春,2020-12-19,54,2,良,PM10,58,35,26,19,0.6,41,-19,-13,晴,3,14,59,0.0,1001
101060201_2020-12-19,101060201,吉林,2020-12-19,24,1,优,-,24,10,10,11,0.6,61,-18,-11,晴,4,24,49,0.0,994
101060306_2020-12-19,101060306,延边,2020-12-19,31,1,优,-,31,6,5,6,0.4,65,-14,-10,晴,4,26,32,0.0,995
101060401_2020-12-19,101060401,四平,2020-12-19,54,2,良,-,57,38,13,11,0.5,67,-21,-10,晴,4,21,64,0.0,1010
101060501_2020-12-19,101060501,通化,2020-12-19,54,2,良,PM10,57,24,10,14,0.5,56,-20,-8,晴,3,19,55,0.0,981
101060601_2020-12-19,101060601,白城,2020-12-19,42,1,优,-,42,26,6,10,0.3,50,-18,-8,晴,3,15,36,0.0,1010
101060701_2020-12-19,101060701,辽源,2020-12-19,34,1,优,-,34,18,6,18,0.8,58,-21,-9,晴,4,25,58,0.0,1000
101060801_2020-12-19,101060801,松原,2020-12-19,36,1,优,-,36,18,17,8,0.5,41,-20,-13,晴,2,9,60,0.0,1012
101060901_2020-12-19,101060901,白山,2020-12-19,75,2,良,PM10,99,42,12,28,0.8,50,-23,-10,晴,4,23,59,0.0,966
101070101_2020-12-19,101070101,沈阳,2020-12-19,65,2,良,PM10,79,43,45,45,1.3,31,-19,-6,晴,3,14,52,0.0,1028
101070201_2020-12-19,101070201,大连,2020-12-19,22,1,优,-,22,6,12,8,0.4,68,-7,1,晴,2,8,46,0.0,1022
101070301_2020-12-19,101070301,鞍山,2020-12-19,53,2,良,PM10,55,23,25,27,1.2,50,-12,-3,晴,1,5,34,0.0,1024
101070401_2020-12-19,101070401,抚顺,2020-12-19,103,3,轻度污染,PM10,156,61,50,46,1.7,35,-21,-6,晴,3,16,63,0.0,1019
101070501_2020-12-19,101070501,本溪,2020-12-19,99,2,良,PM2.5,138,74,55,83,3.4,24,-18,-5,晴,2,8,51,0.0,1010
101070601_2020-12-19,101070601,丹东,2020-12-19,58,2,良,PM10,66,34,27,36,1.1,42,-16,-5,晴,2,10,46,0.0,1033
101070701_2020-12-19,101070701,锦州,2020-12-19,87,2,良,PM2.5,98,64,50,55,1.1,40,-14,0,晴,1,5,39,0.0,1026
101070801_2020-12-19,101070801,营口,2020-12-19,52,2,良,PM10,54,31,38,27,0.8,38,-13,-2,晴,2,7,49,0.0,1034
101070901_2020-12-19,101070901,阜新,2020-12-19,74,2,良,PM10,98,40,28,32,0.7,46,-16,-5,晴,2,10,54,0.0,1012
101071001_2020-12-19,101071001,辽阳,2020-12-19,62,2,良,PM10,73,21,21,20,0.9,53,-17,-4,晴,3,13,46,0.0,1031
101071101_2020-12-19,101071101,铁岭,2020-12-19,64,2,良,PM10,78,36,39,26,0.8,35,-16,-7,晴,3,12,43,0.0,1023
101071201_2020-12-19,101071201,朝阳,2020-12-19,52,2,良,PM10,54,18,22,38,1.3,55,-17,-2,晴,3,12,45,0.0,1012
101071301_2020-12-19,101071301,盘锦,2020-12-19,64,2,良,PM10,77,29,40,38,1.0,42,-12,-2,晴,1,4,43,0.0,1034
101071401_2020-12-19,101071401,葫芦岛,2020-12-19,52,2,良,PM10,54,26,36,20,0.7,53,-18,0,晴,2,8,48,0.0,1029
101080101_2020-12-19,101080101,呼和浩特,2020-12-19,100,2,良,PM2.5,107,75,37,24,1.4,24,-18,-7,晴,2,7,63,0.0,898
101080201_2020-12-19,101080201,包头,2020-12-19,80,2,良,PM2.5,89,59,59,158,2.3,25,-19,-5,晴,3,12,71,0.0,915
101080301_2020-12-19,101080301,乌海,2020-12-19,67,2,良,PM10,83,46,27,32,2.3,51,-15,-2,晴,2,8,55,0.0,904
101080405_2020-12-19,101080405,乌兰察布,2020-12-19,67,2,良,PM2.5,57,48,33,32,1.0,38,-19,-7,晴,2,11,62,0.0,867
101080501_2020-12-19,101080501,通辽,2020-12-19,51,2,良,PM10,52,32,16,10,0.4,58,-19,-10,晴,3,12,55,0.0,1010
101080601_2020-12-19,101080601,赤峰,2020-12-19,89,2,良,PM2.5,117,66,28,25,1.2,51,-20,-4,晴,4,27,48,0.0,951
101080701_2020-12-19,101080701,鄂尔多斯,2020-12-19,41,1,优,-,41,17,17,15,0.6,72,-13,-6,晴,3,16,54,0.0,863
101080811_2020-12-19,101080811,巴彦淖尔,2020-12-19,32,1,优,-,32,15,12,8,0.6,62,-15,-3,多云,2,11,58,0.0,911
101080902_2020-12-19,101080902,锡林郭勒,2020-12-19,21,1,优,-,7,5,4,8,0.4,66,-22,-17,晴,3,13,74,0.0,912
101081013_2020-12-19,101081013,呼伦贝尔,2020-12-19,13,1,优,-,6,8,6,9,0.3,40,-26,-16,晴,2,11,67,0.0,947
101081108_2020-12-19,101081108,兴安盟,2020-12-19,21,1,优,-,21,11,8,4,0.2,57,-16,-9,晴,3,19,37,0.0,995
101081213_2020-12-19,101081213,阿拉善盟,2020-12-19,29,1,优,-,26,16,7,6,0.4,90,-12,-4,晴,2,9,47,0.0,854
