101010100_2020-12-21,101010100,北京,2020-12-21,44,1,优,-,44,27,35,10,0.7,37,-9,5,晴,2,7,49,0.0,1024
101020100_2020-12-21,101020100,上海,2020-12-21,59,2,良,PM2.5,41,42,42,11,0.6,69,3,9,晴,2,6,47,0.0,1030
101030100_2020-12-21,101030100,天津,2020-12-21,82,2,良,PM2.5,69,60,57,26,1.1,32,-4,4,晴,2,6,43,0.0,1027
101040100_2020-12-21,101040100,重庆,2020-12-21,104,3,轻度污染,PM2.5,126,78,62,12,1.1,12,3,11,晴,1,5,75,0.0,998
101050101_2020-12-21,101050101,哈尔滨,2020-12-21,55,2,良,PM10,59,36,26,20,0.6,62,-12,-8,晴,4,21,62,0.0,1004
101050201_2020-12-21,101050201,齐齐哈尔,2020-12-21,64,2,良,PM10,77,29,26,16,0.9,51,-12,-1,晴,2,10,48,0.0,997
101050301_2020-12-21,101050301,牡丹江,2020-12-21,65,2,良,PM2.5,74,47,38,26,0.8,50,-17,-4,晴,5,29,57,0.0,982
101050401_2020-12-21,101050401,佳木斯,2020-12-21,52,2,良,PM2.5,50,36,14,10,0.5,65,-13,-7,晴,4,24,59,0.0,1006
101050501_2020-12-21,101050501,绥化,2020-12-21,63,2,良,PM2.5,59,45,20,8,0.6,52,-15,-10,晴,2,10,71,0.0,995
101050601_2020-12-21,101050601,黑河,2020-12-21,92,2,良,PM2.5,97,68,24,43,1.0,25,-23,-11,晴,2,8,74,0.0,992
101050701_2020-12-21,101050701,大兴安岭,2020-12-21,40,1,优,-,40,10,16,44,0.6,42,-24,-10,多云,2,9,67,0.0,966
101050801_2020-12-21,101050801,伊春,2020-12-21,38,1,优,-,38,24,15,13,0.7,48,-21,-8,晴,4,23,67,0.0,983
101050901_2020-12-21,101050901,大庆,2020-12-21,50,1,优,-,50,23,24,15,0.6,43,-14,-2,晴,2,11,63,0.0,998
101051002_2020-12-21,101051002,七台河,2020-12-21,61,2,良,PM10,72,24,20,12,0.4,70,-22,-7,晴,3,17,74,0.0,994
101051101_2020-12-21,101051101,鸡西,2020-12-21,56,2,良,PM10,62,29,21,11,0.4,65,-13,-5,晴,4,21,54,0.0,984
101051201_2020-12-21,101051201,鹤岗,2020-12-21,49,1,优,-,49,27,19,16,0.6,49,-19,-5,多云,5,29,68,0.0,993
101051301_2020-12-21,101051301,双鸭山,2020-12-21,46,1,优,-,46,28,14,14,0.4,65,-13,-6,多云,4,25,57,0.0,994
101060101_2020-12-21,101060101,长春,2020-12-21,56,2,良,PM10,62,37,31,23,1.0,55,-10,-4,晴,4,23,56,0.0,992
101060201_2020-12-21,101060201,吉林,2020-12-21,43,1,优,-,43,27,21,23,0.8,72,-9,-2,晴,4,22,45,0.0,986
101060306_2020-12-21,101060306,延边,2020-12-21,34,1,优,-,34,14,14,11,0.6,71,-11,1,晴,3,12,41,0.0,990
101060401_2020-12-21,101060401,四平,2020-12-21,72,2,良,PM10,94,50,37,29,1.3,61,-10,-2,晴,5,34,59,0.0,1000
101060501_2020-12-21,101060501,通化,2020-12-21,107,3,轻度污染,PM2.5,118,80,54,70,1.4,18,-17,-2,晴,1,5,63,0.0,976
101060601_2020-12-21,101060601,白城,2020-12-21,40,1,优,-,40,18,6,10,0.4,59,-11,-1,晴,4,21,38,0.0,998
101060701_2020-12-21,101060701,辽源,2020-12-21,50,1,优,-,50,32,12,28,0.7,72,-18,-1,晴,4,26,67,0.0,992
101060801_2020-12-21,101060801,松原,2020-12-21,30,1,优,-,30,19,12,7,0.6,62,-12,-7,晴,2,11,63,0.0,1001
101060901_2020-12-21,101060901,白山,2020-12-21,81,2,良,PM10,112,54,32,71,1.7,27,-20,-3,晴,1,5,70,0.0,961
101070101_2020-12-21,101070101,沈阳,2020-12-21,80,2,良,PM2.5,97,59,48,39,1.7,32,-15,3,晴,3,18,64,0.0,1019
101070201_2020-12-21,101070201,大连,2020-12-21,32,1,优,-,32,14,27,10,0.6,63,-2,5,晴,3,13,50,0.0,1015
101070301_2020-12-21,101070301,鞍山,2020-12-21,51,2,良,PM10,51,25,19,17,0.9,59,-5,4,晴,4,25,47,0.0,1015
101070401_2020-12-21,101070401,抚顺,2020-12-21,104,3,轻度污染,PM2.5,144,78,54,28,1.7,35,-17,2,晴,1,5,70,0.0,1010
101070501_2020-12-21,101070501,本溪,2020-12-21,100,2,良,PM2.5,136,75,61,65,2.0,23,-13,3,晴,1,4,57,0.0,1002
101070601_2020-12-21,101070601,丹东,2020-12-21,72,2,良,PM2.5,80,52,38,52,1.4,35,-12,2,晴,2,6,68,0.0,1026
101070701_2020-12-21,101070701,锦州,2020-12-21,132,3,轻度污染,PM2.5,153,100,59,73,1.5,41,-10,3,晴,1,5,57,0.0,1016
101070801_2020-12-21,101070801,营口,2020-12-21,51,2,良,PM10,52,33,32,30,0.9,46,-7,3,晴,3,12,62,0.0,1025
101070901_2020-12-21,101070901,阜新,2020-12-21,89,2,良,PM2.5,124,66,43,170,1.3,44,-15,1,晴,3,15,58,0.0,1003
101071001_2020-12-21,101071001,辽阳,2020-12-21,55,2,良,PM10,59,28,30,22,1.1,48,-11,3,晴,3,12,54,0.0,1023
101071101_2020-12-21,101071101,铁岭,2020-12-21,65,2,良,PM10,79,44,52,34,1.3,36,-9,1,晴,4,22,51,0.0,1014
101071201_2020-12-21,101071201,朝阳,2020-12-21,60,2,良,PM10,70,30,26,41,1.4,56,-13,2,晴,4,25,49,0.0,1003
101071301_2020-12-21,101071301,盘锦,2020-12-21,46,1,优,-,46,28,30,24,0.9,51,-6,3,晴,3,12,75,0.0,1024
101071401_2020-12-21,101071401,葫芦岛,2020-12-21,175,4,中度污染,PM10,300,129,64,163,2.0,45,-14,2,晴,2,8,64,0.0,1020
101080101_2020-12-21,101080101,呼和浩特,2020-12-21,115,3,轻度污染,PM2.5,128,87,38,28,1.6,30,-17,-5,晴,2,8,66,0.0,891
101080201_2020-12-21,101080201,包头,2020-12-21,156,4,中度污染,PM2.5,171,119,58,47,2.7,20,-17,-2,晴,3,16,73,0.0,907
101080301_2020-12-21,101080301,乌海,2020-12-21,226,5,重度污染,PM2.5,280,176,45,63,2.8,28,-13,0,晴,3,14,61,0.0,895
101080405_2020-12-21,101080405,乌兰察布,2020-12-21,79,2,良,PM10,107,57,56,31,1.0,19,-20,-6,晴,2,10,66,0.0,860
101080501_2020-12-21,101080501,通辽,2020-12-21,44,1,优,-,44,21,17,10,0.3,72,-13,-4,晴,3,17,58,0.0,999
101080601_2020-12-21,101080601,赤峰,2020-12-21,127,3,轻度污染,PM2.5,142,96,34,28,1.4,52,-15,-1,晴,2,9,50,0.0,943
